Day PI,RBC,Mouse,Treatment
-5,6.406,1,A
0,6.169,1,A
3,6.385,1,A
4,7.229,1,A
5,6.478,1,A
6,4.614,1,A
7,4.846,1,A
8,1.928,1,A
9,1.262,1,A
10,1.105,1,A
11,2.547,1,A
12,3.305,1,A
13,3.686,1,A
14,3.939,1,A
15,3.467,1,A
16,2.983,1,A
17,3.268,1,A
18,2.956,1,A
-5,7.378,2,A
0,8.922,2,A
3,6.171,2,A
4,7.751,2,A
5,6.229,2,A
6,4.852,2,A
7,6.542,2,A
8,0.928,2,A
9,2.343,2,A
10,2.249,2,A
11,2.33,2,A
12,3.61,2,A
13,8.575,2,A
14,3.387,2,A
15,3.064,2,A
16,4.052,2,A
17,4.098,2,A
18,4.701,2,A
-5,6.334,3,A
0,6.342,3,A
3,4.3,3,A
4,6.422,3,A
5,5.546,3,A
6,5.775,3,A
7,2.662,3,A
8,1.071,3,A
9,1.991,3,A
10,1.726,3,A
11,2.411,3,A
12,3.543,3,A
13,3.566,3,A
14,3.713,3,A
15,4.296,3,A
16,3.537,3,A
17,3.597,3,A
18,4.398,3,A
-5,7.805,4,A
0,6.376,4,A
3,5.826,4,A
4,7.227,4,A
5,5.563,4,A
6,3.331,4,A
7,3.103,4,A
8,1.849,4,A
9,1.675,4,A
10,1.9,4,A
11,3.139,4,A
12,5.3,4,A
13,4.444,4,A
14,3.459,4,A
15,3.019,4,A
16,2.668,4,A
17,3.063,4,A
18,4.73,4,A
-5,6.244,5,A
0,5.18,5,A
3,7.565,5,A
4,6.891,5,A
5,5.707,5,A
6,4.008,5,A
7,3.15,5,A
8,1.445,5,A
9,2.239,5,A
10,1.325,5,A
11,1.895,5,A
12,3.127,5,A
13,1.701,5,A
14,2.39,5,A
15,2.51,5,A
16,2.523,5,A
17,3.114,5,A
18,7.223,5,A
-5,7.745,1,B
0,3.65,1,B
3,4.081,1,B
4,4.719,1,B
5,5.331,1,B
6,4.29,1,B
7,1.962,1,B
8,NA,1,B
9,NA,1,B
10,NA,1,B
11,NA,1,B
12,NA,1,B
13,NA,1,B
14,NA,1,B
15,NA,1,B
16,NA,1,B
17,NA,1,B
18,NA,1,B
-5,6.688,2,B
0,4.073,2,B
3,8.836,2,B
4,4.776,2,B
5,5.037,2,B
6,3.658,2,B
7,2.284,2,B
8,2.459,2,B
9,1.05,2,B
10,NA,2,B
11,NA,2,B
12,NA,2,B
13,NA,2,B
14,NA,2,B
15,NA,2,B
16,NA,2,B
17,NA,2,B
18,NA,2,B
-5,6.913,4,B
0,4.019,4,B
3,3.411,4,B
4,5.821,4,B
5,4.365,4,B
6,4.414,4,B
7,2.972,4,B
8,1.042,4,B
9,NA,4,B
10,NA,4,B
11,NA,4,B
12,NA,4,B
13,NA,4,B
14,NA,4,B
15,NA,4,B
16,NA,4,B
17,NA,4,B
18,NA,4,B
-5,5.814,5,B
0,3.692,5,B
3,3.955,5,B
4,4.335,5,B
5,5.423,5,B
6,4.966,5,B
7,3.196,5,B
8,1.486,5,B
9,1.129,5,B
10,0.791,5,B
11,1.308,5,B
12,2.663,5,B
13,4.264,5,B
14,3.813,5,B
15,3.431,5,B
16,3.072,5,B
17,2.94,5,B
18,3.162,5,B
-5,7.384,6,B
0,3.317,6,B
3,3.348,6,B
4,5.822,6,B
5,5.412,6,B
6,3.814,6,B
7,NA,6,B
8,NA,6,B
9,NA,6,B
10,NA,6,B
11,NA,6,B
12,NA,6,B
13,NA,6,B
14,NA,6,B
15,NA,6,B
16,NA,6,B
17,NA,6,B
18,NA,6,B
-5,6.175,1,C
0,7.236,1,C
3,4.672,1,C
4,6.318,1,C
5,7.544,1,C
6,5.559,1,C
7,4.947,1,C
8,1.077,1,C
9,1.45,1,C
10,1.09,1,C
11,1.125,1,C
12,3.047,1,C
13,3.103,1,C
14,2.929,1,C
15,1.9,1,C
16,1.785,1,C
17,1.892,1,C
18,3.097,1,C
-5,7.003,2,C
0,5.989,2,C
3,5.907,2,C
4,9.046,2,C
5,6.673,2,C
6,6.256,2,C
7,4.833,2,C
8,1.175,2,C
9,1.296,2,C
10,1.112,2,C
11,1.719,2,C
12,2.248,2,C
13,3.001,2,C
14,2.997,2,C
15,2.128,2,C
16,2.454,2,C
17,1.94,2,C
18,3.032,2,C
-5,8.573,3,C
0,6.685,3,C
3,6.882,3,C
4,7.782,3,C
5,7.607,3,C
6,6.914,3,C
7,7.628,3,C
8,5.109,3,C
9,2.664,3,C
10,1.95,3,C
11,1.527,3,C
12,1.871,3,C
13,3.129,3,C
14,4.374,3,C
15,2.607,3,C
16,1.988,3,C
